Department,Year,Semester,Subject Name
Mechanical Engineering,1,2,Programming for Problem Solving
Mechanical Engineering,1,2,Workshop Practice
Mechanical Engineering,1,2,Environmental Science (Audit)
Mechanical Engineering,2,3,Mathematics – III
Mechanical Engineering,2,3,Engineering Mechanics
Mechanical Engineering,2,3,Basic Electronics Engineering
Mechanical Engineering,2,3,Engineering Metallurgy
Mechanical Engineering,2,3,Thermodynamics
Mechanical Engineering,2,3,Machine Drawing
Mechanical Engineering,2,4,Entrepreneurship and Startups
Mechanical Engineering,2,4,Indian Constitution (Audit)
Mechanical Engineering,2,4,Applied Thermodynamics
Mechanical Engineering,2,4,Fluid Mechanics and Machines
Mechanical Engineering,2,4,Strength of Materials
Mechanical Engineering,2,4,Theory of Machines
Mechanical Engineering,3,5,Principles of Economics
Mechanical Engineering,3,5,Essence of Indian Knowledge and Tradition
Mechanical Engineering,3,5,Heat Transfer
Mechanical Engineering,3,5,Mechanics of Solids
Mechanical Engineering,3,5,Manufacturing Processes
Mechanical Engineering,3,5,Design of Machine Elements
Mechanical Engineering,3,5,Instrumentation and Control
Mechanical Engineering,3,5,Study Tour (Audit)
Mechanical Engineering,3,6,Organizational Behaviour
Mechanical Engineering,3,6,Manufacturing Technology
Mechanical Engineering,3,6,Machine Design
Mechanical Engineering,3,6,Programme Elective – I
Mechanical Engineering,3,6,Programme Elective – II
Mechanical Engineering,3,6,Open Elective – I (From MOOC)
Mechanical Engineering,3,6,Seminar
Mechanical Engineering,4,7,Automation in Manufacturing
Mechanical Engineering,4,7,Mechanical Vibrations
Mechanical Engineering,4,7,Programme Elective – III
Mechanical Engineering,4,7,Programme Elective – IV
Mechanical Engineering,4,7,Open Elective – II
Mechanical Engineering,4,7,Industrial Training
Mechanical Engineering,4,7,Project – I
Mechanical Engineering,4,8,Energy Conversion Techniques
Mechanical Engineering,4,8,Programme Elective – V
Mechanical Engineering,4,8,Programme Elective – VI
Mechanical Engineering,4,8,Open Elective – III (From MOOC)
Mechanical Engineering,4,8,Open Elective – IV
Mechanical Engineering,4,8,Project – II
Mechanical Engineering,4,8,Extra-Curricular Activities and Discipline
Chemistry,1,1,Plant Biochemistry
Chemistry,1,2,Engineering Chemistry – B
Mathematics,1,1,Basic Mathematics
Mathematics,1,2,Statistical Methods and Experimental Designs
Mathematics,1,1,Mathematics – I
Mathematics,1,2,Mathematics – II
Mathematics,2,3,Mathematics – III
Physics,1,1,Engineering Physics
Physics,1,1,Introduction to Mechanics
Physics,1,1,Quantum Mechanics for Engineers
Physics,1,1,Oscillations, Waves and Optics
Physics,1,1,Introduction to Electromagnetic Theory
Humanities and Social Sciences,1,1,Communication Skills and Personality Development
Humanities and Social Sciences,3,5,Entrepreneurship Development and Business Management
Humanities and Social Sciences,3,6,Forest Economics and Marketing
Humanities and Social Sciences,3,6,Marketing of Non-Timber Forest Products
Humanities and Social Sciences,1,2,Communication Skills
Humanities and Social Sciences,2,4,Entrepreneurship and Startups
Humanities and Social Sciences,2,4,Indian Constitution
Humanities and Social Sciences,3,5,Principles of Economics
Humanities and Social Sciences,3,5,Essence of Indian Knowledge and Tradition
Humanities and Social Sciences,3,6,Organizational Behaviour
Humanities and Social Sciences,4,7,Managing Stress
Humanities and Social Sciences,4,7,Human Resources Management
Humanities and Social Sciences,4,7,Project Formulation, Analysis and its Management
Humanities and Social Sciences,4,7,Engineering Ethics
Centre for Management Studies,4,7,Time Series Analysis
Centre for Management Studies,4,7,Entrepreneurship in Renewable Energy
Centre for Management Studies,4,8,Marketing Management
